solID,facebook_I_alphas,facebook_I_gammas,facebook_I_thetas,newsletter_alphas,newsletter_gammas,newsletter_thetas,ooh_S_alphas,ooh_S_gammas,ooh_S_thetas,print_S_alphas,print_S_gammas,print_S_thetas,search_clicks_P_alphas,search_clicks_P_gammas,search_clicks_P_thetas,tv_S_alphas,tv_S_gammas,tv_S_thetas,AIC,AICc,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
3_302_3,1.05059134722521,0.424794058836514,0.282807682991257,2.70584113055951,0.660936750730547,0.355500484756405,0.635847284223625,0.432668865239061,0.355521853040143,2.30661004416319,0.307988713219654,0.132109199378705,2.16453704986169,0.423531626073654,0.0670113802756291,1.91827400484129,0.332512476143791,0.318220414523294,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,0,266561.544311441,0.0856578350067139,618.498214960098,3,302,0,3,1809,FALSE,TRUE,1
3_305_4,0.700057495585026,0.540079206498339,0.263226721809816,2.78098635338817,0.721208588311489,0.300780325129374,0.628775594081976,0.466559401616347,0.376512635110475,2.89496365767908,0.770374687869638,0.171022679973305,1.80655163561469,0.339694513680661,0.0652216426196378,1.90254041446248,0.337096920054174,0.314099521652343,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,0,266561.544311441,0.104052066802979,620.631051063538,4,305,0,3,1828,FALSE,TRUE,1
3_308_3,0.512384438157027,0.515536855619323,0.280575109449847,2.53854445623785,0.679914969582766,0.199135778071349,0.635531593361793,0.697148119200055,0.384967559855081,2.84228124058285,0.834100448334191,0.130511441272374,1.44098009362355,0.375048054446758,0.0942311786969402,1.92853235232401,0.347619674130858,0.322535154770479,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,0,321074.323819979,0.0937860012054443,622.564183950424,3,308,0,3,1845,FALSE,TRUE,1
3_311_4,0.677085948745996,0.379328757792541,0.265915098341329,2.4593803767745,0.65217972805815,0.229552763232999,0.619107162159657,0.586104320524137,0.389130005778426,2.71481209670982,0.641489433924433,0.124998172953235,1.45968402465583,0.389217131096067,0.0292170219992654,1.83137908604894,0.329149541982242,0.308765623319081,2880238289451.12,2880238289454.42,0,0.0574240202824319,0.0572149345910243,0.936070961065048,0,292550.965809729,0.0859060287475586,624.704146146774,4,311,0,3,1864,FALSE,TRUE,1
3_314_2,0.55104432671417,0.516906258659858,0.293284952320999,2.51939426785204,0.676478779766335,0.258261213915539,0.634094644209814,0.540725152215786,0.378764469427269,2.84539251342037,0.970963820325943,0.133659684654936,1.54318165947901,0.35882978112155,0.108979144600012,1.95533109314933,0.345859031766348,0.312714951405683,2956019124045.4,2956019124048.7,0,0.058174546218142,0.0370344688709895,0.934388948870738,0,292550.965809729,0.0838150978088379,626.574567079544,2,314,0,3,1880,FALSE,TRUE,1
3_319_2,0.55104432671417,0.516906258659858,0.293284952320999,2.51939426785204,0.676478779766335,0.258261213915539,0.634094644209814,0.540725152215786,0.366494625617762,2.84539251342037,0.970963820325943,0.133659684654936,1.54318165947901,0.35882978112155,0.108979144600012,1.95533109314933,0.345859031766348,0.312714951405683,3029104775578.88,3029104775582.18,0,0.0588893190427128,0.0300015360646842,0.932766758276448,0,321074.323819979,0.0807838439941406,630.048676967621,2,319,0,3,1910,FALSE,TRUE,1
3_320_6,0.733922448508107,0.401977398847903,0.284160604039704,2.59601280866125,0.640206259413023,0.299157326431253,0.591802660766917,0.470502756559181,0.367005685176191,2.53162644204272,0.945926287629249,0.10919798203481,1.27270741801485,0.445718409847617,0.0751958181898433,1.86506502762722,0.343256867593262,0.311706075013511,2931924239493.02,2931924239496.32,0,0.0579369670629121,0.0472125917817091,0.93492375282024,0,292550.965809729,0.0837709903717041,631.123908042908,6,320,0,3,1920,FALSE,TRUE,1
3_324_2,0.55104432671417,0.516906258659858,0.293284952320999,2.99720129965267,0.705352286267081,0.295964238387749,0.58136767145783,0.367431970543376,0.348119198611101,2.96850300622703,0.957206961861401,0.169681954978688,1.84975173623916,0.306203254575519,0.0339767342710548,1.71227482459882,0.348246048769872,0.312714951405683,3101362612974.64,3101362612977.94,0,0.0595875676774211,0.0250980171639747,0.93116294163488,0,352378.674023944,0.0787849426269531,633.518100976944,2,324,0,3,1940,FALSE,TRUE,1
3_325_6,0.506641428699774,0.552447497700091,0.273632365882747,2.69221872171459,0.640206259413023,0.299157326431253,0.591802660766917,0.470502756559181,0.367005685176191,2.53162644204272,0.945926287629249,0.10919798203481,1.27270741801485,0.445718409847617,0.0751958181898433,1.86506502762722,0.343256867593262,0.314873902672873,2991957488571.63,2991957488574.93,0,0.0585271119125703,0.0369540259713523,0.933591270042064,0,321074.323819979,0.089759111404419,634.595997095108,6,325,0,3,1950,FALSE,TRUE,1
4_181_6,0.697366430639364,0.727590337606306,0.26664310579947,2.66346133896708,0.61933741639079,0.333451096976334,0.594451698945631,0.967387051383772,0.355814531726661,1.9295828764272,0.475165986197168,0.108373104248135,0.763904142462493,0.685798814653382,0.0463576715148109,1.83633646253542,0.338912666288321,0.316332684093971,2755018406922.35,2755018406925.65,0,0.0561618799742021,0.11864396445506,0.938850309834558,0,266561.544311441,0.0867562294006348,120.770774126053,6,181,0,4,1086,FALSE,TRUE,1
