solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,AIC,AICc,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
3_288_3,ooh_S,224730.309544628,5855631.83481008,0.0354630996180362,63648.1721175009,0.0203935527614914,5855631.83481008,0.0354630996180362,63648.1721175009,0.0203935527614914,TRUE,0.310911157955088,0.309694931373662,2940837811539.61,2940837811542.91,0,0.0580249695788737,0.0428912048997397,0.934725909434664,292550.965809729,3,288,0,3,1725,1,10240536,262577.846153846,0.310911157955088,0.309694931373662,0.339947775977483,0.57180911573477,1.74883535865812,89262.7548209577,0.126699951142655
3_288_3,print_S,385112.922227039,1967119.65569147,0.0119133446702846,21381.7353879508,0.00685093592258126,1967119.65569147,0.0119133446702846,21381.7353879508,0.00685093592258126,TRUE,0.0848043521333921,0.104037788569901,2940837811539.61,2940837811542.91,0,0.0580249695788737,0.0428912048997397,0.934725909434664,292550.965809729,3,288,0,3,1725,1,2793216,77589.3333333333,0.0848043521333921,0.104037788569901,0.446470350296778,0.704249028965705,1.41995225959864,34641.3368326268,1.15485675350647
3_288_3,search_clicks_P,47363.9679090049,2152017.12715208,0.0130331277499774,23391.4905125226,0.00749488288613223,2152017.12715208,0.0130331277499774,23391.4905125226,0.00749488288613223,TRUE,0.111321014032676,0.113816717872585,2940837811539.61,2940837811542.91,0,0.0580249695788737,0.0428912048997397,0.934725909434664,292550.965809729,3,288,0,3,1725,1,3666600,47618.1818181818,0.111321014032676,0.113816717872585,0.585150951855264,0.5869244333039,1.70379684889045,27863.8244165261,0.306749527870124
3_288_3,season,0.370927972573927,-2992143.60198622,-0.0181211335722832,-32523.3000215894,-0.010420811987242,-2992143.60198622,-0.0181211335722832,-32523.3000215894,-0.010420811987242,FALSE,,,2940837811539.61,2940837811542.91,0,0.0580249695788737,0.0428912048997397,0.934725909434664,292550.965809729,3,288,0,3,1725,1,,,,,,,,,
3_288_3,trend,0.235244705813935,65371327.2512659,0.395904311588277,710557.904905064,0.227670326447471,65371327.2512659,0.395904311588277,710557.904905064,0.227670326447471,TRUE,,,2940837811539.61,2940837811542.91,0,0.0580249695788737,0.0428912048997397,0.934725909434664,292550.965809729,3,288,0,3,1725,1,,,,,,,,,
3_288_3,tv_S,385352.402092931,6161951.15913508,0.0373182423284931,66977.7299905987,0.0214603785932232,6161951.15913508,0.0373182423284931,66977.7299905987,0.0214603785932232,TRUE,0.311135800761756,0.325895666802639,2940837811539.61,2940837811542.91,0,0.0580249695788737,0.0428912048997397,0.934725909434664,292550.965809729,3,288,0,3,1725,1,10247935.1,256198.3775,0.311135800761756,0.325895666802639,0.503197060646045,0.601287098230655,1.66309904693215,128918.270500286,0.645776856836164
3_302_3,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,,,,,,,,,
3_302_3,competitor_sales_B,0.151623655443282,74214451.8907289,0.449496735417741,806678.824899227,0.255058568091219,74214451.8907289,0.449496735417741,806678.824899227,0.255058568091219,TRUE,,,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,,,,,,,,,
3_302_3,events,0.941663901344984,1150488.61493881,0.00696819640077239,1150488.61493881,0.363765565270911,1150488.61493881,0.00696819640077239,1150488.61493881,0.363765565270911,TRUE,,,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,,,,,,,,,
3_302_3,facebook_I,90154.0492003286,2164221.6230641,0.013108101313207,23524.1480767837,0.00743794846081376,2164221.6230641,0.013108101313207,23524.1480767837,0.00743794846081376,TRUE,0.181827675117088,0.0972603137622377,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,5988890.41190929,136111.145725211,0.181827675117088,0.0972603137622377,0.285542910856878,0.361372720856673,2.7672260308675,38865.5727504415,0.000453702537924983
3_302_3,holiday,0.983813807421885,4456867.34322392,0.0269940324280608,278554.208951495,0.0880742564177582,4456867.34322392,0.0269940324280608,278554.208951495,0.0880742564177582,TRUE,,,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,,,,,,,,,
3_302_3,newsletter,390012.148335498,4107592.52857855,0.0248785699413488,44647.7448758538,0.0141168821159523,4107592.52857855,0.0248785699413488,44647.7448758538,0.0141168821159523,TRUE,,,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,,,,,,,,,
3_302_3,ooh_S,249971.288704691,6832165.40272096,0.0413805662659722,74262.66742088,0.0234806332214934,6832165.40272096,0.0413805662659722,74262.66742088,0.0234806332214934,TRUE,0.310911157955088,0.307038125699599,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,10240536,262577.846153846,0.310911157955088,0.307038125699599,0.409285289603975,0.667168730496232,1.49887120647308,107469.249806665,0.148357379002846
3_302_3,print_S,197799.177114387,3756327.72397401,0.0227510546270894,40829.6491736306,0.0129096630932317,3756327.72397401,0.0227510546270894,40829.6491736306,0.0129096630932317,TRUE,0.0848043521333921,0.168809704668903,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,2793216,77589.3333333333,0.0848043521333921,0.168809704668903,1.53844895838464,1.34480388339964,0.743602849712195,119367.229048425,1.40708929106768
3_302_3,search_clicks_P,68989.7131150027,2960750.71372045,0.0179324612160795,32182.0729752223,0.0101754418213379,2960750.71372045,0.0179324612160795,32182.0729752223,0.0101754418213379,TRUE,0.111321014032676,0.133056402504898,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,3666600,47618.1818181818,0.111321014032676,0.133056402504898,0.831590374225614,0.807492149053742,1.23840213328619,39598.8216381251,0.677596118293877
3_302_3,season,0.362518637676918,-2924308.49795122,-0.017711740634005,-31785.9619342524,-0.0100501980293894,-2924308.49795122,-0.017711740634005,-31785.9619342524,-0.0100501980293894,FALSE,,,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,,,,,,,,,
3_302_3,trend,0.222568258838907,61848713.8061697,0.374600825545306,672268.628327931,0.212560276062025,61848713.8061697,0.374600825545306,672268.628327931,0.212560276062025,TRUE,,,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,,,,,,,,,
3_302_3,tv_S,393652.775294957,6538381.55764724,0.0396011974784274,71069.3647570352,0.0224709634746473,6538381.55764724,0.0396011974784274,71069.3647570352,0.0224709634746473,TRUE,0.311135800761756,0.293835453364363,2754337367365.77,2754337367369.07,0,0.0561549379469254,0.12245516474244,0.938865426015905,266561.544311441,3,302,0,3,1809,1,10247935.1,256198.3775,0.311135800761756,0.293835453364363,0.547064774265387,0.638019415018274,1.5673504229826,140157.107554196,0.67578140491969
3_305_4,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,,,,,,,,,
3_305_4,competitor_sales_B,0.153944958486032,75350648.1688514,0.456409856071165,819028.784444037,0.260702034914955,75350648.1688514,0.456409856071165,819028.784444037,0.260702034914955,TRUE,,,2854737282814.05,2854737282817.35,0,0.0571692451721453,0.0641159756974306,0.9366369749439,266561.544311441,4,305,0,3,1828,1,,,,,,,,,
