solID,facebook_I_alphas,facebook_I_gammas,facebook_I_thetas,newsletter_alphas,newsletter_gammas,newsletter_thetas,ooh_S_alphas,ooh_S_gammas,ooh_S_thetas,print_S_alphas,print_S_gammas,print_S_thetas,search_clicks_P_alphas,search_clicks_P_gammas,search_clicks_P_thetas,tv_S_alphas,tv_S_gammas,tv_S_thetas,AIC_id,AICc_id,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
3_271_2,0.553983667307814,0.535395024301801,0.263086644475693,2.37147363755759,0.894666584645782,0.127547793183264,0.555213137697958,0.496362605339403,0.380328995973693,2.76228003843758,0.930365655054392,0.131328022853782,0.756949705341373,0.718707117562154,0.0589288094068329,2.10138340293341,0.319229498828919,0.336130219817799,3181689174472.78,3181689174476.08,0,0.0603543059064106,0.0174132752507616,0.929380033638552,0,386735.159727359,0.255971908569336,482.046022891998,2,271,0,3,1622,FALSE,TRUE,1
3_272_2,0.557624687494326,0.90551501176166,0.290985730991427,2.04848549467044,0.611105163650719,0.154677047377867,0.579930430355678,0.485287860045231,0.307258032261671,2.68615218721408,0.717158073213206,0.133438025032209,1.02757392506302,0.672390125736153,0.100367870088448,2.4231051863649,0.303420313545394,0.309268708788671,2813659680178.6,2813659680181.9,0,0.0567564427861456,0.0818553045912455,0.937548722998854,0,242880.951389214,0.238644123077393,483.883949995041,2,272,0,3,1628,FALSE,TRUE,1
3_275_4,0.561784173796502,0.589153516774025,0.26095748919838,2.35317560551862,0.84041752432617,0.137497936305129,0.558782018400585,0.3502651384984,0.368023126478484,2.78283428056044,0.879607752964392,0.131723482535904,0.759961469436762,0.785968704622907,0.053824724168477,2.02444377213463,0.3223004168052,0.331239922815228,3177544615845.03,3177544615848.33,0,0.0603149834806187,0.0204551284649417,0.929472025211227,0,386735.159727359,0.225909948348999,489.925688028336,4,275,0,3,1648,FALSE,TRUE,1
3_275_6,0.821598699306082,0.456728136524725,0.270115869644774,2.39169081124741,0.852139878353091,0.113435034348932,0.580238722324408,0.674723678137212,0.386645606962645,2.75096385674135,0.928845875923136,0.132774052675855,0.759983368265146,0.667882105096562,0.0613801053566467,2.04525908772677,0.307491819758799,0.312662624552641,3070325156775.37,3070325156778.67,0,0.059288651165288,0.0299705186149018,0.931851841144718,0,352378.674023944,0.210002899169922,490.41689991951,6,275,0,3,1650,FALSE,TRUE,1
3_276_2,0.553983667307814,0.535395024301801,0.263086644475693,2.37147363755759,0.894666584645782,0.127547793183264,0.555213137697958,0.496362605339403,0.380328995973693,2.76228003843758,0.930365655054392,0.131328022853782,0.756949705341373,0.718707117562154,0.0589288094068329,2.10138340293341,0.319229498828919,0.340519358098401,3184906584640.03,3184906584643.33,0,0.0603848141491133,0.0173908593075111,0.929308620818097,0,386735.159727359,0.213300943374634,491.285023927689,2,276,0,3,1652,FALSE,TRUE,1
3_276_3,0.63262456285003,0.560036695703599,0.269924347975604,2.43093031415836,0.915205617485645,0.124338323041427,0.562953630344819,0.521084611027534,0.38253431678536,2.81982095720056,0.718753036027815,0.128050719969023,0.991281005241935,0.696643367605274,0.112423099432737,2.13254536084422,0.317343370897194,0.335175571358379,2841085254830.62,2841085254833.92,0,0.05703238293219,0.0681497318566186,0.936939991896234,0,266561.544311441,0.219072103500366,491.506072998047,3,276,0,3,1653,FALSE,TRUE,1
3_278_1,1.03138433029516,0.335982158878841,0.254320932333682,2.25010639206531,0.928643293874396,0.126327685605542,0.663120365576732,0.48353090779096,0.365765445951277,2.95888227062472,0.406365023998674,0.102636511157549,1.10793804822513,0.902946882798935,0.0834598807003517,2.35177218790816,0.318872922870144,0.327414502242861,2706791590219.66,2706791590222.96,0,0.0556681506503097,0.116795295445791,0.939920740032632,0,242880.951389214,0.231246948242188,494.76814198494,1,278,0,3,1663,FALSE,TRUE,1
3_279_3,0.652865855618292,0.579088593692142,0.278151829210162,2.55257928378666,0.799807121079992,0.126001614172314,0.580652111688972,0.446035286603906,0.377519217597483,2.26266184022186,0.97207623848192,0.13375779100088,0.872149110834003,0.868839648535871,0.0705101390957248,1.86572603681006,0.321976146488058,0.310132368302619,2887259778756.67,2887259778759.97,0,0.0574939722568475,0.054675588261926,0.935915113868361,0,292550.965809729,0.266160011291504,497.163053035736,3,279,0,3,1671,FALSE,TRUE,1
3_290_5,0.529017224609788,0.76361758098836,0.246052024688746,2.22749317783432,0.981665168138822,0.110468461545352,0.58912409354705,0.536844439728315,0.380481283927929,2.78458485647011,0.871570077767139,0.127018836304414,0.835152955019362,0.690412461683297,0.0551821962818882,2.03509215124816,0.324943848487147,0.33367187155198,3082395380318.97,3082395380322.27,0,0.0594050761834629,0.0258387569158941,0.93158393352274,0,352378.674023944,0.235077142715454,518.035156011581,5,290,0,3,1739,FALSE,TRUE,1
3_295_6,0.752245623918745,0.456728136524725,0.270115869644774,2.49700836068684,0.85296177820128,0.156900500183011,0.646513871607927,0.650932834142214,0.380037903616093,2.85854283411829,0.511160150181965,0.1043453227803,0.937197494379067,0.485508083979751,0.0940808892085276,2.30059814425731,0.301946381554617,0.305825990032526,2814904211312.44,2814904211315.74,0,0.0567689935845843,0.0782836734671635,0.937521099701289,0,292550.965809729,0.228254079818726,527.641850948334,6,295,0,3,1770,FALSE,TRUE,1
