solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
3_193_1,ooh_S,223435.105823065,5207762.8643244,0.0315396898159942,56606.1180904826,0.0179704276076362,5207762.8643244,0.0315396898159942,56606.1180904826,0.0179704276076362,TRUE,0.310911157955088,0.276603069482451,0,0.0561211995099472,0.108450458698134,0.938938864450219,266561.544311441,1,193,0,3,1153,1,10240536,262577.846153846,0.310911157955088,0.276603069482451,0.32564986538132,0.508543973120587,1.96639829170265,85508.4402521169,0.116503521174309
3_193_1,print_S,219252.18520801,3077830.01995044,0.0186402120573871,33454.6741298961,0.0106206682222472,3077830.01995044,0.0186402120573871,33454.6741298961,0.0106206682222472,TRUE,0.0848043521333921,0.163474653712746,0,0.0561211995099472,0.108450458698134,0.938938864450219,266561.544311441,1,193,0,3,1153,1,2793216,77589.3333333333,0.0848043521333921,0.163474653712746,1.21308518838313,1.10189474066826,0.907527700326015,94122.4710431883,2.07274112579762
3_193_1,search_clicks_P,85629.0770436388,2223340.78474661,0.0134651827537186,24166.7476602892,0.00767208217046522,2223340.78474661,0.0134651827537186,24166.7476602892,0.00767208217046522,TRUE,0.111321014032676,0.118089648393815,0,0.0561211995099472,0.108450458698134,0.938938864450219,266561.544311441,1,193,0,3,1153,1,3666600,47618.1818181818,0.111321014032676,0.118089648393815,0.599174983539266,0.60637669359805,1.64913990025954,28531.6233070789,0.351969397019275
3_193_1,season,0.374926898984147,-3024401.51445943,-0.0183166338656721,-32873.9295049938,-0.0104363024753565,-3024401.51445943,-0.0183166338656721,-32873.9295049938,-0.0104363024753565,FALSE,,,0,0.0561211995099472,0.108450458698134,0.938938864450219,266561.544311441,1,193,0,3,1153,1,,,,,,,,,
3_193_1,trend,0.234437859728596,65147115.618942,0.394549420271021,708120.821945022,0.224803155515489,65147115.618942,0.394549420271021,708120.821945022,0.224803155515489,TRUE,,,0,0.0561211995099472,0.108450458698134,0.938938864450219,266561.544311441,1,193,0,3,1153,1,,,,,,,,,
3_193_1,tv_S,353370.137631389,6110924.21433504,0.0370094912595793,66423.0892862505,0.0210869665287084,6110924.21433504,0.0370094912595793,66423.0892862505,0.0210869665287084,TRUE,0.311135800761756,0.324573226373085,0,0.0561211995099472,0.108450458698134,0.938938864450219,266561.544311441,1,193,0,3,1153,1,10247935.1,256198.3775,0.311135800761756,0.324573226373085,0.509193892818853,0.596307856627141,1.6769861219945,130454.649173099,0.70084363935166
3_222_2,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,,,,,,,,,
3_222_2,competitor_sales_B,0.153160562900879,74966714.0904424,0.454042189102983,814855.587939591,0.259003791517653,74966714.0904424,0.454042189102983,814855.587939591,0.259003791517653,TRUE,,,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,,,,,,,,,
3_222_2,events,0.926424263688421,1131869.41376244,0.00685526200045797,1131869.41376244,0.359767391923522,1131869.41376244,0.00685526200045797,1131869.41376244,0.359767391923522,TRUE,,,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,,,,,,,,,
3_222_2,facebook_I,93496.8409750307,2382174.91930768,0.0144278421204882,25893.2056446487,0.00823021715230294,2382174.91930768,0.0144278421204882,25893.2056446487,0.00823021715230294,TRUE,0.181827675117088,0.124508712749739,0,0.0562837186480688,0.0827412337872234,0.93858470338838,266561.544311441,2,222,0,3,1328,1,5988890.41190929,136111.145725211,0.181827675117088,0.124508712749739,0.284702604435533,0.397765655315812,2.51404309707442,38751.197680672,0.00027047170442529
